date,bitcoin
2020-01-05,54
2020-01-12,51
2020-01-19,49
2020-01-26,51
2020-02-02,50
2020-02-09,59
2020-02-16,54
2020-02-23,53
2020-03-01,51
2020-03-08,95
2020-03-15,99
2020-03-22,71
2020-03-29,63
2020-04-05,63
2020-04-12,58
2020-04-19,59
2020-04-26,77
2020-05-03,89
2020-05-10,100
2020-05-17,70
2020-05-24,60
2020-05-31,61
2020-06-07,53
2020-06-14,50
2020-06-21,49
2020-06-28,46
2020-07-05,50
2020-07-12,56
2020-07-19,47
2020-07-26,79
2020-08-02,73
2020-08-09,65
2020-08-16,65
2020-08-23,57
2020-08-23,15
2020-08-30,15
2020-09-06,14
2020-09-13,12
2020-09-20,12
2020-09-27,11
2020-10-04,11
2020-10-11,12
2020-10-18,16
2020-10-25,17
2020-11-01,19
2020-11-08,20
2020-11-15,26
2020-11-22,29
2020-11-29,27
2020-12-06,20
2020-12-13,34
2020-12-20,34
2020-12-27,52

